text,sentiment
I love this product,positive
This product is amazing,positive
I really enjoyed this movie,positive
The movie was fantastic,positive
This is a wonderful experience,positive
I am very happy with the service,positive
The food was delicious,positive
I would definitely recommend this,positive
The quality is excellent,positive
I had a great experience,positive
This app is easy to use,positive
The customer service was helpful,positive
I love the design of this website,positive
The delivery was fast and smooth,positive
This was an excellent purchase,positive
I am satisfied with the product,positive
The performance is really good,positive
This movie was entertaining,positive
The service exceeded my expectations,positive
I am pleased with the results,positive
I hate this product,negative
This product is terrible,negative
I really disliked this movie,negative
The movie was boring,negative
This is a horrible experience,negative
I am very disappointed with the service,negative
The food was awful,negative
I would not recommend this,negative
The quality is very poor,negative
I had a bad experience,negative
This app is difficult to use,negative
The customer service was unhelpful,negative
I hate the design of this website,negative
The delivery was very slow,negative
This was a terrible purchase,negative
I am not satisfied with the product,negative
The performance is very poor,negative
This movie was extremely boring,negative
The service failed my expectations,negative
I am disappointed with the results,negative
